product_name,brand,product_type,unit,unit_purchase,price_per_unit,total_price,currency,date,delivery,store_location,type_store,customer_name,cashier_name
Skim Coat (Wall Putty),Drymix,Mortar,Sack,1,55000,55000,IDR,2022-09-08 13:59:02,Delivery,Jayapura,Branch,Maya Kusuma,Faiz Fadlurrahman
Spandek / Galvalume Sheet,BlueScope,Roof Covering,Meter,44,90000,3960000,IDR,2022-06-04 08:10:38,Delivery,Bandung,Branch,Ferry Syaiban,Anwar Arif Akhtar
Lightweight Brick (AAC Block),Hebel,Brick,Piece,47,10000,470000,IDR,2023-08-24 16:13:28,Delivery,Denpasar,Branch,Saiful Pahlevi,Nina Octavia
Gresik 40 kg,Gresik,Cement,Sack,18,57000,1026000,IDR,2022-12-07 12:21:39,Delivery,Jayapura,Branch,Kayla Jayawardana,Faiz Fadlurrahman
Trowel,Lippro,Tool,Piece,2,25000,50000,IDR,2020-03-02 10:37:14,Pickup,Tasikmalaya,Head Office,Wawan Syaiban,Ayu Putri Avicenna
Pliers,Tekiro,Tool,Piece,42,35000,1470000,IDR,2023-10-27 12:58:53,Pickup,Jayapura,Branch,Tono Ubaid,Marshanda Maharani
Shovel,Camel,Tool,Piece,31,75000,2325000,IDR,2021-06-11 12:18:40,Pickup,Jakarta,Branch,Wawan Kusuma,Ahmad Adam
River Stone,Unbranded,Stone,Cubic Meter,34,330000,11220000,IDR,2024-11-18 11:20:10,Delivery,Medan,Branch,Ayu Tanuwijaya,Chairil Dhaifullah
Paint Roller,Ace Oldfields,Paint Accessory,Piece,43,25000,1075000,IDR,2022-08-31 12:15:59,Delivery,Bandung,Branch,Syifa Wijaya,Anwar Arif Akhtar
Water Faucet,Wasser,Sanitary,Piece,32,75000,2400000,IDR,2024-03-21 09:25:03,Pickup,Medan,Branch,Saiful Shihab,Kezia Karen
Rebar 10mm,Gunung Steel,Steel,Meter,34,25000,850000,IDR,2024-06-25 12:31:43,Pickup,Bandung,Branch,Maya Tanuwijaya,Harum Hafsa
Wall Paint,Dulux,Paint,Can,18,120000,2160000,IDR,2020-06-16 08:51:38,Pickup,Bandung,Branch,Tono Pahlevi,Anwar Arif Akhtar
Steel Door,WINA,Door,Piece,42,700000,29400000,IDR,2023-04-15 16:49:18,Delivery,Jakarta,Branch,Nina Ubaid,Erinna Elsa Elizha
Timber Roof Frame,Unbranded,Roof Frame,Meter,38,30000,1140000,IDR,2024-09-23 15:15:38,Delivery,Jayapura,Branch,Azahra Tanuwijaya,Fauzi Ghaffar
Skim Coat (Wall Putty),Drymix,Mortar,Sack,32,55000,1760000,IDR,2024-09-03 12:16:34,Pickup,Jakarta,Branch,Kayla Malaka,Erinna Elsa Elizha
Door Frame (Wood),Unbranded,Door Frame,Piece,44,250000,11000000,IDR,2024-12-24 17:14:56,Pickup,Bandung,Branch,Aleena Pahlevi,Hera Harsha
Power Outlet,Panasonic,Electrical,Piece,29,20000,580000,IDR,2022-09-12 12:14:44,Delivery,Bandung,Branch,Agung Malaka,Harum Hafsa
Asbestos Sheet,Djabesmen,Roof Covering,Meter,13,60000,780000,IDR,2020-04-10 08:20:39,Pickup,Jakarta,Branch,Agus Kusuma,Muhammad Fikru
Rebar 8mm,Master Steel,Steel,Meter,49,20000,980000,IDR,2020-06-05 12:27:53,Pickup,Denpasar,Branch,Agung Thalib,Ibrahim Iman
Lamp Bulb,Philips,Electrical,Piece,36,15000,540000,IDR,2020-07-25 16:56:42,Pickup,Bandung,Branch,Agung Wijaya,Anwar Arif Akhtar
Water Tank,Penguin,Plumbing,Piece,5,1500000,7500000,IDR,2020-01-07 16:40:00,Delivery,Tasikmalaya,Head Office,Ayu Thalib,Ayu Putri Avicenna
Gypsum Board,Jayaboard,Ceiling,Sheet,19,60000,1140000,IDR,2023-12-09 12:38:13,Pickup,Tasikmalaya,Head Office,Azahra Wijaya,Al Harits
Clay Roof Tile,Kanmuri,Roof Covering,Piece,27,2000,54000,IDR,2022-10-27 10:35:16,Pickup,Denpasar,Branch,Asep Malaka,Ilyas Jabar
Door Frame (Wood),Unbranded,Door Frame,Piece,44,250000,11000000,IDR,2021-02-19 11:26:35,Delivery,Surabaya,Branch,Melania Tanuwijaya,Burhan Bakhtiar
Gypsum Board,Jayaboard,Ceiling,Sheet,19,60000,1140000,IDR,2024-12-10 14:06:13,Pickup,Medan,Branch,Agus Pahlevi,Chairil Dhaifullah
Roof Batten (Reng),Unbranded,Wood,Piece,46,15000,690000,IDR,2021-07-26 12:06:18,Pickup,Medan,Branch,Melania Shihab,Ehsan Aziz
Water Faucet,Wasser,Sanitary,Piece,46,75000,3450000,IDR,2021-09-06 14:59:14,Delivery,Surabaya,Branch,Erna Tanuwijaya,Agus Cahyadi
Tiga Roda 50 kg,Tiga Roda,Cement,Sack,30,76000,2280000,IDR,2023-05-08 08:11:28,Delivery,Jayapura,Branch,Agus Ubaid,Latifa Laila
Electrical Cable,Supreme,Electrical,Meter,14,5000,70000,IDR,2023-07-25 16:29:45,Pickup,Denpasar,Branch,Tono Wijaya,Ilyas Jabar
Trowel,Lippro,Tool,Piece,18,25000,450000,IDR,2021-10-14 15:06:49,Delivery,Jakarta,Branch,Maya Pahlevi,Erinna Elsa Elizha
Hand Saw,Tekiro,Tool,Piece,42,60000,2520000,IDR,2020-03-11 14:16:04,Pickup,Surabaya,Branch,Agus Malaka,Zahra Jasmine
Spandek / Galvalume Sheet,BlueScope,Roof Covering,Meter,35,90000,3150000,IDR,2023-07-08 15:00:30,Pickup,Bandung,Branch,Aleena Shihab,Hera Harsha
Spirit Level,Krisbow,Tool,Piece,5,65000,325000,IDR,2022-10-26 15:58:52,Delivery,Jakarta,Branch,Tono Malaka,Muhammad Fikru
Lightweight Steel Roof Frame,Taso,Roof Frame,Meter,26,45000,1170000,IDR,2022-03-09 08:01:43,Pickup,Tasikmalaya,Head Office,Aleena Shihab,Naura Aliya Lestari
Floor Drain,Onda,Sanitary,Piece,37,50000,1850000,IDR,2021-09-25 15:31:17,Pickup,Jakarta,Branch,Melania Ubaid,Fiona Gianna
Shovel,Camel,Tool,Piece,28,75000,2100000,IDR,2023-05-29 14:32:28,Delivery,Jayapura,Branch,Hendra Shihab,Fauzi Ghaffar
Rebar 6mm,Krakatau Steel,Steel,Meter,36,15000,540000,IDR,2021-03-25 11:45:02,Pickup,Medan,Branch,Aleena Malaka,Chairil Dhaifullah
Roof Batten (Reng),Unbranded,Wood,Piece,7,15000,105000,IDR,2023-11-07 09:30:29,Pickup,Medan,Branch,Saiful Tanuwijaya,Kezia Karen
Squat Toilet,INA,Sanitary,Piece,3,300000,900000,IDR,2022-04-23 14:16:53,Delivery,Denpasar,Branch,Melania Kusuma,Nina Octavia
Tile Grout,Sika,Mortar,Sack,20,45000,900000,IDR,2021-05-04 16:39:46,Delivery,Denpasar,Branch,Erna Shihab,Permata Qaila
Tile Adhesive Mortar,AM,Mortar,Sack,3,60000,180000,IDR,2024-04-30 09:55:00,Pickup,Jakarta,Branch,Budi Syaiban,Fiona Gianna
Paint Brush,Eterna,Paint Accessory,Piece,23,15000,345000,IDR,2020-01-24 17:03:01,Pickup,Bandung,Branch,Tono Thalib,Asep Aziz
Sandpaper,Taiyo,Paint Accessory,Piece,43,5000,215000,IDR,2024-08-31 10:53:13,Delivery,Denpasar,Branch,Budi Wijaya,Permata Qaila
Shovel,Camel,Tool,Piece,35,75000,2625000,IDR,2024-10-28 13:14:44,Delivery,Surabaya,Branch,Nina Tanuwijaya,Isabell Inaya
Pliers,Tekiro,Tool,Piece,26,35000,910000,IDR,2021-06-29 17:15:43,Delivery,Denpasar,Branch,Erna Syaiban,Ilyas Jabar
Concrete Block,Bricon,Brick,Piece,14,5000,70000,IDR,2021-05-26 13:17:59,Delivery,Tasikmalaya,Head Office,Melania Thalib,Al Harits
Roof Batten (Reng),Unbranded,Wood,Piece,6,15000,90000,IDR,2022-12-09 10:13:05,Delivery,Bandung,Branch,Agus Syaiban,Asep Aziz
Electrical Cable,Supreme,Electrical,Meter,45,5000,225000,IDR,2024-11-27 11:04:37,Pickup,Medan,Branch,Ananda Shihab,Kezia Karen
Door Lock,Solid,Lock,Set,48,100000,4800000,IDR,2023-01-23 14:55:05,Pickup,Medan,Branch,Melania Pahlevi,Kayla Kiki Lena
Power Outlet,Panasonic,Electrical,Piece,47,20000,940000,IDR,2022-02-16 09:17:11,Pickup,Medan,Branch,Maya Jayawardana,Ehsan Aziz
Plaster Mortar,Mortar Utama (MU),Mortar,Sack,2,50000,100000,IDR,2021-03-31 17:00:31,Delivery,Surabaya,Branch,Agus Pahlevi,Burhan Bakhtiar
Gypsum Board,Jayaboard,Ceiling,Sheet,49,60000,2940000,IDR,2023-09-02 10:46:43,Delivery,Jakarta,Branch,Tono Tanuwijaya,Erinna Elsa Elizha
Measuring Tape,Stanley,Tool,Piece,31,30000,930000,IDR,2021-10-06 11:06:59,Delivery,Medan,Branch,Ferry Malaka,Kezia Karen
Electrical Cable,Supreme,Electrical,Meter,38,5000,190000,IDR,2020-02-08 08:43:33,Delivery,Medan,Branch,Agung Thalib,Ehsan Aziz
Electrical Cable,Supreme,Electrical,Meter,12,5000,60000,IDR,2023-05-31 15:04:13,Pickup,Bandung,Branch,Tono Syaiban,Asep Aziz
PVC Door,Maspion,Door,Piece,7,350000,2450000,IDR,2020-11-05 08:02:28,Delivery,Medan,Branch,Asep Jayawardana,Chairil Dhaifullah
Tile Adhesive Mortar,AM,Mortar,Sack,19,60000,1140000,IDR,2022-03-23 10:03:23,Delivery,Jayapura,Branch,Azahra Malaka,Faiz Fadlurrahman
Hammer,Lippro,Tool,Piece,19,50000,950000,IDR,2021-06-21 09:22:51,Delivery,Medan,Branch,Maya Ubaid,Chairil Dhaifullah
Paint Roller,Ace Oldfields,Paint Accessory,Piece,27,25000,675000,IDR,2021-07-07 08:12:16,Pickup,Bandung,Branch,Kayla Shihab,Hera Harsha
Metal Roof Tile,Multi Roof,Roof Covering,Piece,33,5000,165000,IDR,2021-04-15 15:08:35,Delivery,Denpasar,Branch,Erna Tanuwijaya,Permata Qaila
Paint Brush,Eterna,Paint Accessory,Piece,8,15000,120000,IDR,2021-06-24 16:52:34,Delivery,Medan,Branch,Agus Tanuwijaya,Kezia Karen
Granite Tile,Indogress,Tile,Box,29,150000,4350000,IDR,2021-03-13 14:22:49,Pickup,Surabaya,Branch,Ayu Shihab,Burhan Bakhtiar
Paint Roller,Ace Oldfields,Paint Accessory,Piece,12,25000,300000,IDR,2024-05-14 11:46:29,Delivery,Denpasar,Branch,Syifa Syaiban,Ibrahim Iman
Power Outlet,Panasonic,Electrical,Piece,21,20000,420000,IDR,2021-01-13 15:20:51,Delivery,Tasikmalaya,Head Office,Hendra Ubaid,Atyla Azfa
Masonry Sand,Unbranded,Sand,Cubic Meter,30,250000,7500000,IDR,2021-07-20 08:24:23,Delivery,Tasikmalaya,Head Office,Erna Thalib,Al Harits
Power Outlet,Panasonic,Electrical,Piece,27,20000,540000,IDR,2023-12-09 10:30:00,Pickup,Medan,Branch,Azahra Ubaid,Kezia Karen
Rebar 6mm,Krakatau Steel,Steel,Meter,46,15000,690000,IDR,2021-03-19 17:00:57,Pickup,Denpasar,Branch,Tono Jayawardana,Ilyas Jabar
Timber Beam (Kaso),Unbranded,Wood,Piece,9,25000,225000,IDR,2024-11-08 14:52:15,Pickup,Jayapura,Branch,Agus Thalib,Marshanda Maharani
Paint Roller,Ace Oldfields,Paint Accessory,Piece,14,25000,350000,IDR,2020-02-17 13:35:32,Pickup,Medan,Branch,Tono Tanuwijaya,Kezia Karen
Plastering Float,Lippro,Tool,Piece,45,30000,1350000,IDR,2024-01-22 16:31:56,Pickup,Tasikmalaya,Head Office,Agung Shihab,Naura Aliya Lestari
Lightweight Steel Roof Frame,Taso,Roof Frame,Meter,48,45000,2160000,IDR,2023-02-09 15:17:55,Pickup,Tasikmalaya,Head Office,Budi Syaiban,Atyla Azfa
Door Hinge,Belleza,Lock Accessory,Pair,33,30000,990000,IDR,2023-09-07 15:05:45,Delivery,Denpasar,Branch,Hendra Malaka,Nina Octavia
Trowel,Lippro,Tool,Piece,3,25000,75000,IDR,2023-10-18 12:38:53,Pickup,Medan,Branch,Melania Ubaid,Kezia Karen
Rebar 10mm,Gunung Steel,Steel,Meter,8,25000,200000,IDR,2021-07-06 16:18:44,Pickup,Medan,Branch,Wawan Tanuwijaya,Kayla Kiki Lena
Squat Toilet,INA,Sanitary,Piece,18,300000,5400000,IDR,2022-10-05 11:18:39,Pickup,Medan,Branch,Nina Tanuwijaya,Chairil Dhaifullah
Metal Roof Tile,Multi Roof,Roof Covering,Piece,10,5000,50000,IDR,2024-12-04 11:04:16,Delivery,Jakarta,Branch,Melania Kusuma,Fiona Gianna
Sandpaper,Taiyo,Paint Accessory,Piece,22,5000,110000,IDR,2021-09-01 17:53:31,Pickup,Medan,Branch,Melania Kusuma,Ehsan Aziz
Concrete Sand,Unbranded,Sand,Cubic Meter,37,300000,11100000,IDR,2021-10-19 08:41:18,Pickup,Jayapura,Branch,Aleena Ubaid,Marshanda Maharani
Plaster Mortar,Mortar Utama (MU),Mortar,Sack,38,50000,1900000,IDR,2023-03-23 08:19:11,Pickup,Bandung,Branch,Nina Jayawardana,Asep Aziz
Rebar 8mm,Master Steel,Steel,Meter,35,20000,700000,IDR,2022-12-22 14:37:35,Delivery,Jayapura,Branch,Ayu Wijaya,Faiz Fadlurrahman
Door Lock,Solid,Lock,Set,49,100000,4900000,IDR,2024-03-30 10:44:07,Delivery,Denpasar,Branch,Budi Jayawardana,Nina Octavia
Rebar 6mm,Krakatau Steel,Steel,Meter,47,15000,705000,IDR,2021-09-28 11:35:16,Delivery,Medan,Branch,Tono Malaka,Kezia Karen
Timber Beam (Kaso),Unbranded,Wood,Piece,42,25000,1050000,IDR,2022-10-29 08:54:04,Pickup,Surabaya,Branch,Erna Jayawardana,Isabell Inaya
Floor Drain,Onda,Sanitary,Piece,49,50000,2450000,IDR,2020-02-17 14:01:16,Pickup,Bandung,Branch,Ferry Shihab,Anwar Arif Akhtar
Door Frame (Wood),Unbranded,Door Frame,Piece,50,250000,12500000,IDR,2024-11-29 14:08:03,Delivery,Surabaya,Branch,Azahra Ubaid,Agus Cahyadi
Tiga Roda 40 kg,Tiga Roda,Cement,Sack,42,64000,2688000,IDR,2021-04-03 13:02:16,Pickup,Tasikmalaya,Head Office,Tono Tanuwijaya,Atyla Azfa
Asbestos Sheet,Djabesmen,Roof Covering,Meter,8,60000,480000,IDR,2022-05-04 14:25:44,Delivery,Surabaya,Branch,Wawan Wijaya,Agus Cahyadi
Concrete Block,Bricon,Brick,Piece,1,5000,5000,IDR,2020-06-25 11:05:25,Pickup,Denpasar,Branch,Syifa Shihab,Ilyas Jabar
Electrical Cable,Supreme,Electrical,Meter,43,5000,215000,IDR,2022-01-10 13:09:16,Pickup,Medan,Branch,Erna Pahlevi,Kayla Kiki Lena
Floor Drain,Onda,Sanitary,Piece,3,50000,150000,IDR,2024-08-15 11:02:53,Pickup,Bandung,Branch,Tono Malaka,Hera Harsha
Holcim 50 kg,Holcim,Cement,Sack,30,68000,2040000,IDR,2024-03-02 11:43:16,Delivery,Jayapura,Branch,Budi Jayawardana,Marshanda Maharani
Rebar 8mm,Master Steel,Steel,Meter,20,20000,400000,IDR,2020-08-20 12:56:44,Pickup,Medan,Branch,Tono Kusuma,Kayla Kiki Lena
Hammer,Lippro,Tool,Piece,24,50000,1200000,IDR,2022-02-28 17:25:32,Pickup,Jayapura,Branch,Hendra Malaka,Latifa Laila
Wall Paint,Dulux,Paint,Can,42,120000,5040000,IDR,2024-05-06 08:43:22,Pickup,Jayapura,Branch,Hendra Thalib,Latifa Laila
Water Tank,Penguin,Plumbing,Piece,34,1500000,51000000,IDR,2022-11-05 15:20:45,Pickup,Medan,Branch,Asep Malaka,Ehsan Aziz
Clay Roof Tile,Kanmuri,Roof Covering,Piece,41,2000,82000,IDR,2020-10-07 08:02:51,Pickup,Jayapura,Branch,Aleena Syaiban,Faiz Fadlurrahman
Concrete Roof Tile,Monier,Roof Covering,Piece,50,3500,175000,IDR,2021-05-05 08:18:50,Pickup,Surabaya,Branch,Hendra Malaka,Isabell Inaya
Tile Adhesive Mortar,AM,Mortar,Sack,16,60000,960000,IDR,2021-04-24 10:22:22,Pickup,Jakarta,Branch,Budi Pahlevi,Muhammad Fikru
Holcim 50 kg,Holcim,Cement,Sack,45,68000,3060000,IDR,2022-05-12 13:02:47,Delivery,Surabaya,Branch,Ananda Jayawardana,Isabell Inaya
Wheelbarrow,Artco,Tool,Piece,44,450000,19800000,IDR,2022-03-09 11:03:31,Delivery,Jakarta,Branch,Asep Jayawardana,Erinna Elsa Elizha
Holcim 50 kg,Holcim,Cement,Sack,39,68000,2652000,IDR,2022-09-16 12:49:52,Pickup,Tasikmalaya,Head Office,Agung Pahlevi,Naura Aliya Lestari
Spirit Level,Krisbow,Tool,Piece,38,65000,2470000,IDR,2024-02-20 10:49:41,Pickup,Bandung,Branch,Ananda Malaka,Asep Aziz
Lightweight Steel Roof Frame,Taso,Roof Frame,Meter,48,45000,2160000,IDR,2020-05-15 17:40:45,Delivery,Medan,Branch,Melania Jayawardana,Kezia Karen
Roof Batten (Reng),Unbranded,Wood,Piece,49,15000,735000,IDR,2024-04-19 15:30:57,Pickup,Jayapura,Branch,Kayla Syaiban,Faiz Fadlurrahman
Spandek / Galvalume Sheet,BlueScope,Roof Covering,Meter,42,90000,3780000,IDR,2023-06-02 15:30:37,Delivery,Jayapura,Branch,Ananda Syaiban,Fauzi Ghaffar
Hoe,Camel,Tool,Piece,16,80000,1280000,IDR,2023-07-24 10:08:42,Delivery,Jakarta,Branch,Ferry Tanuwijaya,Muhammad Fikru
Conduit Pipe,Clipsal,Electrical,Meter,19,7000,133000,IDR,2022-11-04 16:38:19,Delivery,Jayapura,Branch,Aleena Kusuma,Fauzi Ghaffar
Steel Door,WINA,Door,Piece,43,700000,30100000,IDR,2023-12-19 10:01:43,Delivery,Bandung,Branch,Ananda Jayawardana,Anwar Arif Akhtar
Wall Putty (Filler),Matex,Paint Accessory,Kg,1,20000,20000,IDR,2024-04-09 09:23:01,Delivery,Tasikmalaya,Head Office,Nina Kusuma,Ayu Putri Avicenna
Rebar 10mm,Gunung Steel,Steel,Meter,18,25000,450000,IDR,2024-04-12 15:07:28,Pickup,Jayapura,Branch,Saiful Malaka,Fauzi Ghaffar
Metal Roof Tile,Multi Roof,Roof Covering,Piece,30,5000,150000,IDR,2024-04-15 08:29:16,Delivery,Medan,Branch,Ananda Syaiban,Ehsan Aziz
Door Frame (Wood),Unbranded,Door Frame,Piece,44,250000,11000000,IDR,2022-11-30 17:16:56,Pickup,Denpasar,Branch,Melania Syaiban,Permata Qaila
Skim Coat (Wall Putty),Drymix,Mortar,Sack,22,55000,1210000,IDR,2020-10-13 12:43:55,Pickup,Surabaya,Branch,Melania Wijaya,Burhan Bakhtiar
Rebar 8mm,Master Steel,Steel,Meter,27,20000,540000,IDR,2021-02-24 10:21:29,Pickup,Surabaya,Branch,Hendra Thalib,Burhan Bakhtiar
Roof Batten (Reng),Unbranded,Wood,Piece,47,15000,705000,IDR,2024-10-25 11:09:09,Delivery,Medan,Branch,Melania Syaiban,Kayla Kiki Lena
Hoe,Camel,Tool,Piece,5,80000,400000,IDR,2023-05-31 15:52:18,Pickup,Jakarta,Branch,Erna Wijaya,Muhammad Fikru
Plaster Mortar,Mortar Utama (MU),Mortar,Sack,10,50000,500000,IDR,2020-10-01 15:21:39,Delivery,Denpasar,Branch,Syifa Jayawardana,Permata Qaila
Squat Toilet,INA,Sanitary,Piece,45,300000,13500000,IDR,2024-05-29 08:47:34,Delivery,Medan,Branch,Asep Tanuwijaya,Kezia Karen
Lightweight Steel Roof Frame,Taso,Roof Frame,Meter,41,45000,1845000,IDR,2020-03-03 09:45:37,Pickup,Surabaya,Branch,Maya Syaiban,Agus Cahyadi
Water Tank,Penguin,Plumbing,Piece,42,1500000,63000000,IDR,2024-01-05 17:54:55,Pickup,Bandung,Branch,Agus Shihab,Asep Aziz
Crushed Stone / Gravel,Unbranded,Stone,Cubic Meter,2,350000,700000,IDR,2020-05-22 12:08:23,Pickup,Surabaya,Branch,Syifa Wijaya,Zahra Jasmine
Spandek / Galvalume Sheet,BlueScope,Roof Covering,Meter,40,90000,3600000,IDR,2020-12-11 12:17:33,Delivery,Jakarta,Branch,Ananda Shihab,Fiona Gianna
Crushed Stone / Gravel,Unbranded,Stone,Cubic Meter,5,350000,1750000,IDR,2020-06-23 15:08:52,Pickup,Bandung,Branch,Azahra Tanuwijaya,Hera Harsha
Door Hinge,Belleza,Lock Accessory,Pair,26,30000,780000,IDR,2024-09-19 11:57:05,Pickup,Jakarta,Branch,Tono Wijaya,Muhammad Fikru
Rebar 6mm,Krakatau Steel,Steel,Meter,36,15000,540000,IDR,2020-09-19 13:15:11,Pickup,Denpasar,Branch,Syifa Kusuma,Nina Octavia
Shovel,Camel,Tool,Piece,9,75000,675000,IDR,2023-07-29 09:18:16,Delivery,Jakarta,Branch,Azahra Malaka,Ahmad Adam
Lightweight Steel Roof Frame,Taso,Roof Frame,Meter,6,45000,270000,IDR,2023-02-28 09:20:46,Delivery,Bandung,Branch,Hendra Jayawardana,Anwar Arif Akhtar
Skim Coat (Wall Putty),Drymix,Mortar,Sack,24,55000,1320000,IDR,2024-06-22 11:48:22,Delivery,Medan,Branch,Wawan Pahlevi,Kezia Karen
Wooden Beam,Unbranded,Wood,Piece,1,40000,40000,IDR,2023-01-02 11:19:59,Delivery,Surabaya,Branch,Azahra Shihab,Burhan Bakhtiar
Tile Adhesive Mortar,AM,Mortar,Sack,13,60000,780000,IDR,2021-05-20 17:10:19,Pickup,Jayapura,Branch,Maya Wijaya,Latifa Laila
Wall Putty (Filler),Matex,Paint Accessory,Kg,6,20000,120000,IDR,2021-01-07 08:09:50,Pickup,Surabaya,Branch,Budi Syaiban,Burhan Bakhtiar
Sandpaper,Taiyo,Paint Accessory,Piece,6,5000,30000,IDR,2024-08-26 17:16:19,Pickup,Jakarta,Branch,Kayla Pahlevi,Erinna Elsa Elizha
Paint Roller,Ace Oldfields,Paint Accessory,Piece,22,25000,550000,IDR,2020-09-22 17:00:43,Pickup,Denpasar,Branch,Syifa Malaka,Ilyas Jabar
Hand Saw,Tekiro,Tool,Piece,43,60000,2580000,IDR,2023-02-22 13:44:36,Delivery,Denpasar,Branch,Kayla Jayawardana,Ilyas Jabar
Rebar 8mm,Master Steel,Steel,Meter,14,20000,280000,IDR,2022-09-02 14:51:43,Pickup,Medan,Branch,Wawan Tanuwijaya,Kezia Karen
Hand Saw,Tekiro,Tool,Piece,30,60000,1800000,IDR,2023-05-27 08:51:09,Delivery,Denpasar,Branch,Azahra Pahlevi,Ilyas Jabar
Timber Beam (Kaso),Unbranded,Wood,Piece,25,25000,625000,IDR,2020-06-13 11:54:27,Delivery,Jakarta,Branch,Azahra Wijaya,Fiona Gianna
Plastering Float,Lippro,Tool,Piece,15,30000,450000,IDR,2020-10-13 11:34:34,Delivery,Medan,Branch,Melania Thalib,Kezia Karen
Holcim 40 kg,Holcim,Cement,Sack,44,56000,2464000,IDR,2021-11-26 15:57:57,Delivery,Jayapura,Branch,Agus Malaka,Fauzi Ghaffar
Spirit Level,Krisbow,Tool,Piece,38,65000,2470000,IDR,2020-08-10 09:54:58,Delivery,Surabaya,Branch,Melania Pahlevi,Isabell Inaya
GRC Board,KalsiBoard,Ceiling,Sheet,16,70000,1120000,IDR,2021-01-19 17:13:21,Delivery,Jakarta,Branch,Azahra Wijaya,Ahmad Adam
Timber Beam (Kaso),Unbranded,Wood,Piece,47,25000,1175000,IDR,2023-06-07 17:23:07,Delivery,Medan,Branch,Tono Ubaid,Ehsan Aziz
Shower,American Standard,Sanitary,Set,35,200000,7000000,IDR,2020-09-08 17:29:32,Pickup,Medan,Branch,Nina Tanuwijaya,Chairil Dhaifullah
River Stone,Unbranded,Stone,Cubic Meter,2,330000,660000,IDR,2021-02-23 15:11:20,Pickup,Denpasar,Branch,Syifa Shihab,Permata Qaila
Squat Toilet,INA,Sanitary,Piece,13,300000,3900000,IDR,2021-10-09 15:56:05,Delivery,Bandung,Branch,Agus Tanuwijaya,Hera Harsha
Timber Roof Frame,Unbranded,Roof Frame,Meter,11,30000,330000,IDR,2024-12-19 12:13:12,Pickup,Surabaya,Branch,Ayu Wijaya,Burhan Bakhtiar
Rebar 8mm,Master Steel,Steel,Meter,15,20000,300000,IDR,2020-03-20 08:50:23,Delivery,Medan,Branch,Saiful Pahlevi,Ehsan Aziz
Screwdriver Set,Tekiro,Tool,Set,50,40000,2000000,IDR,2020-01-27 14:09:37,Delivery,Medan,Branch,Syifa Pahlevi,Chairil Dhaifullah
Sitting Toilet,TOTO,Sanitary,Piece,11,1200000,13200000,IDR,2024-03-19 15:49:17,Delivery,Medan,Branch,Syifa Pahlevi,Kayla Kiki Lena
Electrical Cable,Supreme,Electrical,Meter,26,5000,130000,IDR,2024-01-04 13:22:43,Delivery,Bandung,Branch,Kayla Malaka,Harum Hafsa
Metal Roof Tile,Multi Roof,Roof Covering,Piece,7,5000,35000,IDR,2022-09-09 14:09:46,Pickup,Denpasar,Branch,Ananda Shihab,Nina Octavia
Masonry Sand,Unbranded,Sand,Cubic Meter,11,250000,2750000,IDR,2022-04-06 17:25:14,Pickup,Jayapura,Branch,Nina Thalib,Marshanda Maharani
Wash Basin (Sink),TOTO,Sanitary,Piece,31,600000,18600000,IDR,2022-11-11 12:19:33,Pickup,Tasikmalaya,Head Office,Saiful Wijaya,Atyla Azfa
Door Hinge,Belleza,Lock Accessory,Pair,48,30000,1440000,IDR,2022-09-10 12:24:02,Delivery,Medan,Branch,Nina Kusuma,Ehsan Aziz
PVC Door,Maspion,Door,Piece,36,350000,12600000,IDR,2022-09-26 17:19:10,Delivery,Bandung,Branch,Erna Kusuma,Anwar Arif Akhtar
Masonry Sand,Unbranded,Sand,Cubic Meter,27,250000,6750000,IDR,2023-04-11 08:28:25,Delivery,Jakarta,Branch,Wawan Malaka,Fiona Gianna
Plastering Float,Lippro,Tool,Piece,2,30000,60000,IDR,2024-04-01 09:20:11,Pickup,Medan,Branch,Saiful Tanuwijaya,Kayla Kiki Lena
Wash Basin (Sink),TOTO,Sanitary,Piece,36,600000,21600000,IDR,2020-12-25 15:17:31,Pickup,Medan,Branch,Saiful Wijaya,Kezia Karen
Red Brick,Laksana,Brick,Piece,30,800,24000,IDR,2023-10-14 10:27:58,Delivery,Denpasar,Branch,Ferry Tanuwijaya,Ibrahim Iman
Wooden Door,Unbranded,Door,Piece,15,500000,7500000,IDR,2023-07-08 13:29:21,Pickup,Jakarta,Branch,Asep Ubaid,Erinna Elsa Elizha
Pliers,Tekiro,Tool,Piece,1,35000,35000,IDR,2023-09-29 13:14:08,Delivery,Tasikmalaya,Head Office,Budi Ubaid,Naura Aliya Lestari
Trowel,Lippro,Tool,Piece,45,25000,1125000,IDR,2022-09-19 12:50:28,Delivery,Medan,Branch,Tono Kusuma,Ehsan Aziz
Rebar 6mm,Krakatau Steel,Steel,Meter,6,15000,90000,IDR,2020-02-07 10:18:10,Delivery,Jakarta,Branch,Tono Wijaya,Ahmad Adam
Gresik 50 kg,Gresik,Cement,Sack,43,70000,3010000,IDR,2021-02-06 16:21:40,Delivery,Denpasar,Branch,Hendra Wijaya,Permata Qaila
Masonry Sand,Unbranded,Sand,Cubic Meter,1,250000,250000,IDR,2020-01-18 09:20:12,Pickup,Denpasar,Branch,Saiful Thalib,Ilyas Jabar
Hand Saw,Tekiro,Tool,Piece,13,60000,780000,IDR,2024-07-22 08:38:09,Pickup,Surabaya,Branch,Asep Ubaid,Isabell Inaya
